source_product_code,target_product_code,relation_type,source,confidence,target_resolved,notes
28783IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
28783IN-0,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
31347IN-0,inRiver_2312522,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2312522; inRiver_3128234
31347IN-0,inRiver_3128234,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_2312522; inRiver_3128234
7799IN-FDL-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
7799IN-FDL-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
20704-0,inRiver_1933656,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1933656; inRiver_232048; inRiver_244082
20704-0,inRiver_232048,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1933656; inRiver_232048; inRiver_244082
20704-0,inRiver_244082,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1933656; inRiver_232048; inRiver_244082
20703-0,inRiver_200827,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_200827; inRiver_1933656
20703-0,inRiver_1933656,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_200827; inRiver_1933656
C60,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
C60,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
20217IN-S-0,inRiver_1336387,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336387
38785IN-0,inRiver_1336387,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1336387
31458IN-0,inRiver_558305,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
31458IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
31460IN-0,inRiver_558305,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
31460IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
C63,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
C63,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
C5,inRiver_558305,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
C5,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
25317IN-0,inRiver_558305,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
25317IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_558305; inRiver_1730109
C64,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
C64,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
C62,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
C62,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
