product_code,asset_url,asset_type_normalized,file_format_normalized,product_url,product_exists,asset_id
18343T-0,https://techcomm.kohler.com/techcomm/pdf/K-18343T_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/evok-1-6m-rectangular-freestanding-acrylic-bath-18343t?skuId=18343T-0,True,asset_002957
18343T-0,https://techcomm.kohler.com/techcomm/pdf/18343t_18347t_18353t.pdf,installation,PDF,https://www.kohler.co.in/p/evok-1-6m-rectangular-freestanding-acrylic-bath-18343t?skuId=18343T-0,True,asset_002907
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331T.obj,3d model,OBJ,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002170
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331T.skp,3d model,SKP,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002171
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331T.3ds,3d model,3DS,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002167
8331T-0,https://techcomm.kohler.com/techcomm/cad/Bath-Freestanding-KOHLER-Veil-K-8331T.rfa,3d model,RFA,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002488
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331tpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002175
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331tpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002174
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331tfrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002173
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331tfrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002172
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331tsde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002177
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331tsde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002176
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331T.dxf,cad drawing,DXF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002169
8331T-0,https://techcomm.kohler.com/techcomm/cad/8331T.dwg,cad drawing,DWG,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002168
8331T-0,https://techcomm.kohler.com/techcomm/pdf/170821_RI_K-8331T_final1.pdf,spec sheet,PDF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002905
8331T-0,https://techcomm.kohler.com/techcomm/pdf/K-8331T_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_003140
8331T-0,https://techcomm.kohler.com/techcomm/pdf/1329949-T01_C2.pdf,installation,PDF,https://www.kohler.co.in/p/veil-freestanding-lithocast-bath-8331t?skuId=8331T-0,True,asset_002788
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.obj,3d model,OBJ,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000029
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.skp,3d model,SKP,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000030
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.3ds,3d model,3DS,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000026
11195T-0,https://techcomm.kohler.com/techcomm/cad/Bath-Freestanding-KOHLER-CLEO-K-11195T.rfa,3d model,RFA,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_002485
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195tpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000034
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195tpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000033
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195tfrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000032
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195tfrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000031
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195tsde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000036
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195tsde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000035
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.dxf,cad drawing,DXF,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000028
11195T-0,https://techcomm.kohler.com/techcomm/cad/11195T.dwg,cad drawing,DWG,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_000027
11195T-0,https://techcomm.kohler.com/techcomm/pdf/K-11195T_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_002924
11195T-0,https://techcomm.kohler.com/techcomm/pdf/k11195t_2901t.pdf,installation,PDF,https://www.kohler.co.in/p/cleo-1-7m-freestanding-cast-iron-bath-11195t?skuId=11195T-0,True,asset_003176
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800T.obj,3d model,OBJ,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000296
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800T.skp,3d model,SKP,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000297
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800T.3ds,3d model,3DS,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000293
1800T-0,https://techcomm.kohler.com/techcomm/cad/Bath-Freestanding-KOHLER-ABRAZO-K-1800T.rfa,3d model,RFA,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_002484
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800tpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000301
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800tpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000300
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800tfrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000299
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800tfrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000298
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800tsde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000303
