parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
26856IN-CP,26856IN-CP,Vibrant Brushed Bronze,CP,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
26856IN-CP,26856IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-single-function-rainhead-22-lpm-26856in?skuId=26856IN-CP
73198IN-CP,73198IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/203mm-round-katalyst-tm-rainhead-73198in?skuId=73198IN-CP
73040IN-CL-CP,73040IN-CL-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl?skuId=73040IN-CL-CP
73040IN-CL-CP,73040IN-CL-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl?skuId=73040IN-CL-CP
73040IN-CL-CP,73040IN-CL-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl?skuId=73040IN-CL-CP
73040IN-CL-CP,73040IN-CL-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl?skuId=73040IN-CL-CP
73040IN-CL-CP,73040IN-CL-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rainduet-edge-square-254-mm-single-function-rainhead-9-5-lpm-73040in-cl?skuId=73040IN-CL-CP
73038IN-CL-CP,73038IN-CL-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rain-duet-edge-square-203-mm-single-function-rainhead-73038in-cl?skuId=73038IN-CL-CP
18361IN-CL-AF,18361IN-CL-BN,Vibrant French Gold,BN,Vibrant French Gold,,,https://www.kohler.co.in/p/rainduet-square-254mm-rainhead-18361in-cl?skuId=18361IN-CL-AF
18361IN-CL-AF,18361IN-CL-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rainduet-square-254mm-rainhead-18361in-cl?skuId=18361IN-CL-AF
18361IN-CL-AF,18361IN-CL-RGD,Vibrant Brushed Nickel,RGD,Vibrant Brushed Nickel,,,https://www.kohler.co.in/p/rainduet-square-254mm-rainhead-18361in-cl?skuId=18361IN-CL-AF
18361IN-CL-AF,18361IN-CL-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rainduet-square-254mm-rainhead-18361in-cl?skuId=18361IN-CL-AF
27731IN-CP,27731IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-flow-330x230mm-rainhead-27731in?skuId=27731IN-CP
27731IN-CP,27731IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-flow-330x230mm-rainhead-27731in?skuId=27731IN-CP
27731IN-CP,27731IN-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/modernlife-flow-330x230mm-rainhead-27731in?skuId=27731IN-CP
27731IN-CP,27731IN-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/modernlife-flow-330x230mm-rainhead-27731in?skuId=27731IN-CP
27731IN-CP,27731IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/modernlife-flow-330x230mm-rainhead-27731in?skuId=27731IN-CP
26294IN-AF,26294IN-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294in?skuId=26294IN-AF
26294IN-AF,26294IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294in?skuId=26294IN-AF
26294IN-AF,26294IN-BV,Vibrant Rose Gold,BV,Vibrant Rose Gold,,,https://www.kohler.co.in/p/statement-oblong-353-mm-single-function-rainhead-9-5-lpm-26294in?skuId=26294IN-AF
